"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13_a","Q13_b","Q13_c","Q13_d","Q14_a","Q14_b","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q23_sp","heavyDrinker"
"1",4,5,1,2,1,5,3,2,5,3,4,2,3,3,3,3,3,3,4,0,3,2,2,0,2,2,0," ",0
"2",3,4,1,2,3,5,1,1,3,4,3,2,2,2,1,3,3,3,4,0,0,999,0,0,2,2,1,"I ran score up and got really slow, obviously not major. I changed date and saw you were smart.",0
"3",3,4,2,2,2,4,3,2,4,1,4,2,2,2,2,2,3,2,4,0,3,4,3,0,2,2,0,"Cool idea! Best of luck! Add countdown to finger tapping task would be only suggestion.",0
"4",3,4,1,2,1,3,3,2,5,5,3,2,2,2,2,3,3,3,3,0,0,999,0,0,2,2,0," ",0
"5",3,3,2,2,1,4,4,3,4,4,4,2,2,3,1,3,3,3,4,3,3,2,2,0,2,3,0," ",0
"6",4,4,2,2,1,5,4,2,5,2,4,3,3,3,3,3,3,2,4,1,3,3,2,1,2,2,0," ",0
"7",2,3,1,3,2,4,3,2,5,5,3,2,1,2,1,3,2,2,3,0,3,1,0,0,2,2,0," ",0
"8",3,3,1,2,1,4,3,2,4,4,2,2,2,3,2,3,3,3,3,0,3,1,1,0,2,2,0," ",0
"9",4,4,1,3,1,4,3,2,4,4,3,3,2,2,1,3,3,3,4,0,3,2,1,2,2,2,0," ",0
"10",4,4,1,2,1,5,4,2,5,4,4,2,3,3,2,3,3,3,5,0,2,1,0,0,2,2,0," ",0
"11",4,4,2,3,1,5,3,2,4,4,4,2,2,3,1,3,3,3,4,0,3,3,3,1,2,2,0," ",0
"12",4,3,2,3,1,5,2,1,5,5,4,2,3,3,2,3,3,3,5,0,3,2,3,2,2,2,0," ",0
"13",4,4,1,3,1,5,4,2,5,4,4,2,3,3,2,3,3,3,4,0,2,1,1,0,2,3,0," ",0
"14",4,2,1,2,1,3,2,1,5,4,2,2,2,2,2,3,3,3,3,1,3,1,2,0,2,2,0," ",0
"15",4,4,1,3,2,4,3,2,4,4,3,2,3,3,3,3,3,3,4,0,2,2,1,0,2,2,1,"I think the more stream-lined the app is, the better! (i.e. appearance).",0
"16",3,3,1,2,1,5,3,2,5,4,3,2,3,3,3,3,3,3,5,0,0,999,0,1,2,2,0," ",0
"17",3,4,1,3,3,5,4,2,5,5,3,3,3,2,3,3,3,3,5,0,2,1,0,0,2,1,0," ",0
"18",4,4,2,1,2,3,3,1,4,4,3,2,2,3,2,3,3,3,4,0,3,2,2,0,2,2,0," ",0
"19",3,3,1,2,3,4,3,2,4,4,3,3,2,2,1,3,3,3,4,0,0,999,0,0,2,2,0," ",0
"20",3,3,1,2,1,5,3,2,3,1,3,3,2,2,2,3,3,2,3,0,0,999,0,0,2,2,0," ",0
"21",2,2,1,2,2,3,3,2,4,4,4,3,3,2,2,3,3,3,4,0,3,3,2,3,2,3,0," ",0
